Acc_X,run_ID,Status,time_ms
-0.0192660318661863,2,1,0
-0.0301782589738584,2,1,1
-0.0352858759087271,2,1,2
-0.0013463011121629,2,1,3
-0.0150754544653537,2,1,4
-0.0341309184473935,2,1,5
0.0037797586592569,2,1,6
0.0447626489029549,2,1,7
-0.0375580487386154,2,1,8
-0.0282147654058736,2,1,9
0.0696560744372804,2,1,10
0.0034501691407727,2,1,11
-0.0274544709015609,2,1,12
-0.0151000825548425,2,1,13
0.0187050404270964,2,1,14
0.0276733835855883,2,1,15
-0.0100491756172556,2,1,16
-0.0095444301270297,2,1,17
0.0218583747659319,2,1,18
0.008580317951784,2,1,19
-0.0013213430438285,2,1,20
0.0009610811033593,2,1,21
-0.0073683485274382,2,1,22
0.0098633545830771,2,1,23
0.0416904178925742,2,1,24
0.0209422192343041,2,1,25
-0.0410398523105453,2,1,26
0.0218138762549471,2,1,27
0.0429333617720707,2,1,28
-0.027258077985974,2,1,29
-0.0084282991799004,2,1,30
0.0093520610968114,2,1,31
-0.0251714156455903,2,1,32
-0.0116681438167603,2,1,33
-0.0037162269813656,2,1,34
-0.0269968518739742,2,1,35
-0.0292941573342401,2,1,36
0.0113155401565483,2,1,37
-0.0230478546957171,2,1,38
-0.0644149798401221,2,1,39
0.007819254248357,2,1,40
0.0068051235097159,2,1,41
-0.0273670545870692,2,1,42
-0.0261012559056166,2,1,43
-0.0077450474809728,2,1,44
0.0026967843619641,2,1,45
0.0042978255536477,2,1,46
0.0029174677045063,2,1,47
-0.0021803345404864,2,1,48
-0.006462984020298,2,1,49
0.0212676714433806,2,1,50
0.0047617123167699,2,1,51
0.0228183690290365,2,1,52
0.0375708633540845,2,1,53
0.0453060760765936,2,1,54
-0.0112592785322951,2,1,55
0.0493530738512978,2,1,56
0.0503747359230271,2,1,57
-0.0033033040518678,2,1,58
0.0169565519514615,2,1,59
0.0107032112602781,2,1,60
0.0017762773932841,2,1,61
0.0088736520997461,2,1,62
-0.0218884653470261,2,1,63
0.0051783229309795,2,1,64
0.0157538352870314,2,1,65
-0.0085091167194845,2,1,66
-0.0298061983985261,2,1,67
-0.00461448814873,2,1,68
0.0017691631723224,2,1,69
-0.0221421419906278,2,1,70
-0.0332035257626558,2,1,71
-0.0171137746463761,2,1,72
-0.0252218680634771,2,1,73
-0.0073319722148722,2,1,74
-0.0001402084283736,2,1,75
-0.0021220279809962,2,1,76
-0.0210991154936414,2,1,77
-0.0017889174916625,2,1,78
0.0296587493675058,2,1,79
0.0218620950942014,2,1,80
0.0258472727236781,2,1,81
-0.0175884850775437,1,1,0
-0.0732336047474,1,1,1
0.0482336070444677,1,1,2
0.0612073537060054,1,1,3
-0.0415978778864283,1,1,4
-0.057578641520427,1,1,5
0.0048159612312275,1,1,6
0.0652397313160934,1,1,7
-0.0775992343022385,1,1,8
-0.0383228447695083,1,1,9
